name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
Christina Franklin,7620 Kim Dam,North Juliechester,22774,001-301-336-2733x07181,Equality and diversity officer,9,129.06,0,1,Surburban,0,Web,Buy One Get One,0.2430880963421173
Kenneth Butler,0414 Harmon Row,New Katelynstad,56231,(829)247-3477,Clinical biochemist,7,67.12,0,1,Urban,1,Web,No Offer,0.2701292141508791
Miguel Mcgee,94174 Smith Grove Suite 923,Derrickchester,24608,(023)192-1487x507,"Radiographer, diagnostic",9,29.99,1,0,Urban,1,Phone,Buy One Get One,1.3801137448446852
Christopher Santiago,728 Turner Divide,Johnborough,62380,+1-987-871-6261x8413,Teaching laboratory technician,11,135.26,0,1,Surburban,1,Phone,Buy One Get One,0.7414738181674776
Amber Davis,13242 Mallory Junctions,Juliefort,43354,+1-995-463-4989,Software engineer,5,263.09,1,1,Urban,0,Phone,Buy One Get One,1.024349505250815
Carlos Johnson,619 Kenneth Parks,Silvabury,3786,953.953.2459,"Pilot, airline",1,678.45,1,0,Urban,1,Multichannel,Buy One Get One,1.0307342633598915
Katrina Stewart,34461 Kenneth Loaf,Heatherhaven,5795,078.203.5506x5430,Health visitor,6,268.54,0,1,Urban,1,Phone,No Offer,0.25472157261314177
Mark Wood,551 Aaron Extensions,Port Kathrynshire,20591,001-975-000-5365x9399,Fine artist,8,111.72,1,0,Surburban,1,Web,Discount,2.3020698998291222
Daniel Jones,114 Stout Tunnel Apt. 376,Savageburgh,24329,(743)930-0744x80620,"Runner, broadcasting/film/video",9,83.91,0,1,Rural,0,Web,Discount,1.7576033662663488
Nicole Manning,897 Omar Street Suite 451,Freemanberg,44316,703.965.5186x64001,Garment/textile technologist,1,49.75,1,0,Rural,0,Web,No Offer,1.4909739627908958
Margaret Tate,149 Thomas Lakes Apt. 446,West Christinastad,33487,+1-962-889-6113x070,Statistician,1,279.83,0,1,Surburban,0,Web,Discount,1.233423588463522
Daniel Brown,69454 Julie Shoals,Port Davidview,81357,540-025-1821,Health physicist,4,147.26,1,0,Surburban,0,Web,Discount,0.34288255075049395
Jesse Brown,120 Craig Stream Apt. 602,South Ashleyborough,51321,001-347-881-7463,Market researcher,7,103.67,0,1,Rural,0,Phone,Buy One Get One,1.2949680186121582
Bruce Fields,926 Alice Causeway,West Heatherborough,51315,(382)073-7754x36900,"Surveyor, rural practice",9,102.11,0,1,Urban,1,Phone,Discount,0.4798767632655577
Alan Robinson,726 Rodney Oval,Lauraville,79768,849-082-4579,Administrator,7,389.27,1,0,Urban,1,Web,No Offer,0.3940310765914432
Philip Powell,05480 Andrea Garden,Amandahaven,39300,+1-695-988-0789x46387,Make,2,492.73,0,1,Surburban,0,Multichannel,Discount,2.0085202244140534
Grant Foster,3536 Vang Rest,Charlesport,72471,001-594-601-4065x7768,"Geneticist, molecular",7,34.28,1,0,Rural,0,Phone,No Offer,1.4233169207523333
Kimberly Burton,7115 Julie Well,New Ronaldburgh,45396,001-872-232-6974x0759,Gaffer,9,202.09,1,1,Urban,1,Multichannel,Buy One Get One,0.16067073855462866
Arthur Jackson,608 Calderon Valleys,West Shannonton,23312,(838)447-4175x733,Set designer,3,787.51,1,1,Urban,1,Multichannel,No Offer,1.0955412434640124
Tiffany Padilla,479 Powers Well Suite 419,North Michelle,5019,+1-746-800-8028,Social researcher,9,104.08,1,0,Urban,1,Phone,Buy One Get One,1.1961178883241477
Jeanette Todd,5854 Danny Loop,Michealport,96018,743-453-5094x78977,Haematologist,6,53.76,0,1,Urban,0,Web,Discount,1.0748065852391746
Melanie Wilkinson,2622 Moss Cliff,Hoodport,56798,8527763392,Dispensing optician,3,244.64,1,0,Surburban,0,Phone,Buy One Get One,1.5003727654793608
Randall Mejia,5487 Alyssa Street Suite 614,Lake Kathrynfort,20928,001-533-957-7584x831,Speech and language therapist,9,53.76,1,0,Urban,1,Phone,No Offer,0.638926128494445
Stefanie Martin,52366 Chen Stravenue Apt. 118,Port Lisa,39165,361.867.9795,Sport and exercise psychologist,4,29.99,1,0,Urban,1,Web,No Offer,0.9390428222044828
Richard Strickland,48222 Martha Island Apt. 003,East Ashleyberg,2470,571.262.5038x1214,Regulatory affairs officer,9,287.59,1,1,Urban,0,Phone,Discount,1.261127781167528
Ryan Pearson,877 James Circle Suite 194,Wayneburgh,49173,(195)088-6402x097,Retail banker,3,842.86,1,1,Urban,1,Web,Buy One Get One,2.175496640364345
Heather White,53114 Kelly Shore,New Amandabury,21078,001-658-346-7813x678,Make,6,29.99,1,0,Urban,1,Web,No Offer,0.7299540279677182
Jennifer Lawrence,7017 Bryan Track,Johnsonberg,22976,017-122-9045,Occupational therapist,10,29.99,1,0,Surburban,1,Web,Discount,1.1792176120441311
Amanda Anthony,80050 Rachel Branch,Mitchellstad,22401,111.988.7008,Fashion designer,4,149.1,1,0,Urban,0,Web,Buy One Get One,1.0226661716410248
Melanie Mendoza,250 Valerie Lane,Lake Barry,92896,001-427-273-2927x9942,Media buyer,3,381.74,1,1,Surburban,0,Web,No Offer,0.688245282103306
Stephanie Mendoza,023 Le Mountains Apt. 000,New Laura,18848,(805)088-1864x9695,Tree surgeon,11,386.09,0,1,Urban,0,Phone,Discount,1.156957852231075
William Wilson,4364 Simmons Locks,Port Dwayne,23766,(006)316-1417,Actor,6,345.2,1,1,Surburban,0,Phone,Discount,0.8115787568972779
Pamela Chavez,62843 Brown Pike Apt. 498,North Gavin,74422,+1-681-340-7169x22547,"Engineer, manufacturing systems",4,1113.44,1,0,Urban,1,Web,No Offer,0.5925850394773353
Thomas Howard,3620 Marcus Island Suite 317,North Natasha,49666,+1-113-713-2464x681,Brewing technologist,4,108.7,0,1,Surburban,0,Phone,Discount,1.0954003813380129
James Mayer,9404 Cassandra Knolls,Lake Eric,36358,874.185.9005,Advertising account planner,6,129.17,0,1,Urban,1,Web,No Offer,0.6826743607504226
Heather Hall,1577 Penny Square,East Robert,20559,251-618-3328,Claims inspector/assessor,1,428.28,1,0,Urban,0,Phone,Discount,0.9540238179474017
Jennifer Brown,14198 Daniels Rapid Apt. 364,West Austin,46807,945-451-8200x61803,Illustrator,4,479.16,0,1,Urban,0,Multichannel,Buy One Get One,0.7214316638608005
Cynthia Williams,6423 Howard Run,Mariahshire,70937,+1-298-353-2471x3845,"Journalist, magazine",10,734.06,1,0,Urban,1,Phone,No Offer,0.19275663425247025
Edwin Jackson,96720 George Trail,East Jacqueline,21074,(006)488-1121,Research scientist (physical sciences),6,38.69,0,1,Urban,0,Web,Buy One Get One,1.0309786246396455
Sharon Hall,43506 Yvette Trafficway,Port Grant,24627,021.578.5865,Biomedical engineer,6,518.8,1,0,Urban,1,Phone,Discount,1.0346800558491551
Tracy Mccoy,4098 Rebekah Meadows Suite 542,Dianafurt,12534,001-846-892-2735x40883,Advertising copywriter,2,29.99,1,0,Surburban,1,Phone,Discount,0.8035954139653358
Randy Allen,8399 Stephanie Rest,Haleyfort,35505,720-474-5272x033,"Scientist, clinical (histocompatibility and immunogenetics)",10,138.48,0,1,Surburban,1,Phone,No Offer,0.9957504143354126
Ricky Hall,202 Wolf Bridge,Rochaville,71477,(882)301-5112,"Surveyor, commercial/residential",6,29.99,1,0,Surburban,0,Web,No Offer,0.3870155429582257
Joanna Jones,276 Heidi Common,Port Mariachester,69508,(910)468-8050,"Doctor, general practice",1,521.76,1,0,Urban,1,Web,No Offer,1.5272456945066608
Melissa Baldwin,0923 Weaver Trail,Connerburgh,50686,001-862-746-3471x59770,Recruitment consultant,3,197.71,1,0,Urban,0,Web,No Offer,1.1096695804287826
Yvette Rodriguez,634 Casey Via Suite 899,Lake Erinside,86768,+1-817-905-2537x4479,Charity fundraiser,1,393.88,1,1,Surburban,0,Multichannel,Buy One Get One,1.2936983818066947
Samantha Walker,575 Brian Radial Apt. 310,Samuelland,71167,+1-703-125-9536x5026,"Programmer, applications",9,68.34,1,0,Surburban,1,Web,Discount,1.0290973910772614
Christopher Boyd,775 Joshua Centers,Duncanchester,60488,731.317.0191,Learning disability nurse,4,74.51,1,0,Urban,0,Phone,No Offer,1.0303153943702008
Stephanie Hatfield,98810 Paul Square Apt. 593,Timothyville,83979,+1-082-158-2724x5702,"Merchandiser, retail",2,1137.4,1,1,Surburban,1,Web,Discount,1.097323106909872
Heather Jones,3897 Jason Pike,Port Madison,75142,001-980-651-6012x645,Clinical biochemist,2,29.99,0,1,Surburban,1,Web,No Offer,0.8559010460159049
Richard Kirby,38719 Adam Landing Apt. 940,East Emily,62165,920.766.5714x7307,"Development worker, community",3,51.3,1,0,Surburban,1,Web,Buy One Get One,1.053350083930928
Brian Wilkerson,99451 Martin Road,Lopezburgh,42993,205-032-4984,Database administrator,10,657.34,1,1,Urban,1,Phone,Buy One Get One,1.873134695403229
Trevor Hansen,77189 Baldwin Burgs Suite 144,Lake Michael,26001,737.604.6927x51598,"Psychologist, sport and exercise",2,321.26,0,1,Rural,0,Phone,Buy One Get One,2.3156341381654038
Michael Stephens,61784 Hannah Isle Apt. 598,North Toddville,98413,931-802-5090x4892,Health physicist,4,61.85,1,0,Rural,0,Phone,Discount,0.8955533215288121
Tracey Wiley,100 Martinez Meadows,Allenmouth,68243,(799)383-1365,Sub,9,144.88,1,0,Surburban,1,Phone,Buy One Get One,0.24800431243556945
Stephanie Lee,132 Charles Cape Suite 971,Amberville,69117,(239)787-9425,Ecologist,6,134.87,1,0,Urban,0,Phone,Buy One Get One,0.25544592227410234
George Fletcher,33907 Parker Fall,Crawfordton,49579,8953638978,"Investment banker, operational",2,120.6,1,0,Surburban,0,Web,No Offer,0.9124042894534476
Jacob Haas,58334 Erica Pike Apt. 839,Lake Kathryn,2190,(304)019-5614,Medical physicist,2,332.74,0,1,Urban,0,Web,Buy One Get One,0.472073963823364
Nicole Middleton,2732 Johnson Motorway,West Nicholasmouth,75611,+1-964-518-5090x70182,Environmental education officer,1,634.53,0,1,Urban,1,Multichannel,No Offer,1.3558763685243664
Renee Hale,370 Rachel Fall,North Robyn,44354,3078305686,"Administrator, charities/voluntary organisations",2,127.29,1,0,Surburban,1,Phone,No Offer,1.175007027083154
Jessica Meyers,44492 Anthony Plains,Barryborough,97660,2396784146,Chartered loss adjuster,4,120.28,0,1,Urban,0,Phone,Discount,0.7483607235451191
Brandon Mcclain,3407 Jasmine Trace Apt. 143,Masonshire,61237,(763)109-8405,Illustrator,12,123.92,0,1,Urban,1,Web,Buy One Get One,1.192385414297732
Kristi Castro,55629 Boyd Shoals Suite 155,North Tamaraview,43317,674-133-0583,Multimedia programmer,1,296.73,0,1,Rural,1,Web,Discount,2.37785323460209
Lindsey Ibarra,08221 Campbell Knoll,New Johnbury,18069,412.014.9095x800,Airline pilot,2,29.99,1,0,Surburban,1,Phone,Discount,0.8683626302304657
Lori Edwards,686 Martin Cliff Apt. 166,Lake Jessica,20407,435-274-5303,"Production assistant, radio",2,325.41,1,0,Urban,0,Web,No Offer,0.3917180267734026
Kevin Roth,6022 Elizabeth Flats,West Darrenfort,44065,001-738-047-5110x03345,Commercial/residential surveyor,10,169.84,0,1,Surburban,0,Web,Discount,1.0536259750446864
Jerry Wilson,348 Tracy Row Suite 315,Lake Kimberlyport,89703,+1-431-803-8786,Sales executive,1,144.56,1,0,Surburban,0,Phone,No Offer,1.6756224972363047
Vickie Terry,737 Parker Well Suite 910,Kristinland,63740,001-823-492-4042,"Doctor, hospital",2,54.22,1,0,Surburban,1,Web,Discount,0.7229232367360574
April Owens,80138 Michael Islands Apt. 977,East Ronaldborough,86564,+1-834-842-8255x005,Technical author,2,599.49,1,0,Surburban,1,Multichannel,Discount,1.2084577075468643
Meghan White,5448 Price Cliff,Saundersmouth,89723,877-070-3617x3891,"Teacher, music",5,477.98,1,0,Urban,0,Multichannel,Buy One Get One,0.6615108394694782
Amber Baker,38466 Kathy Rapid,Sophiafurt,75292,280-040-2183x52142,"Development worker, community",7,314.26,1,0,Rural,0,Phone,Discount,0.9761187206535404
Justin Pena,957 Sabrina Hollow Suite 931,East Markland,81870,328.814.2136,Health and safety inspector,4,29.99,0,1,Urban,1,Phone,Buy One Get One,1.9297011828940425
Sandra Reilly,1855 Williams Row,East Ashley,33192,+1-043-426-8684x600,"Programme researcher, broadcasting/film/video",6,29.99,1,0,Surburban,1,Web,Buy One Get One,0.8575173436758887
William Gray,60942 Washington Port,Baileyview,72673,410-744-5887x23321,Clinical cytogeneticist,3,76.93,0,1,Surburban,0,Phone,Buy One Get One,0.4300153506921333
Amanda Wang,591 Cole Crescent Apt. 099,Christinaside,9670,187-755-7083x7166,Careers adviser,9,895.14,1,0,Surburban,1,Web,Discount,0.5786365194505627
Crystal Mcpherson,27223 Joe Walks,Perrymouth,94202,424-822-1829x5408,Electronics engineer,4,43.09,0,1,Urban,0,Phone,No Offer,1.5744436421820438
Alexander Warren,60685 Michael Estates Apt. 477,South Jill,54600,698-897-8366,Electronics engineer,10,441.89,0,1,Urban,0,Multichannel,Buy One Get One,0.8284451020746184
Richard Lee,097 Marc Views Suite 151,Russellshire,77561,491.299.5367x251,Bonds trader,1,83.45,1,0,Surburban,1,Phone,No Offer,0.9136669508389116
James Parker,2616 Lang Rest,South Brittany,78022,(083)185-1140,Mechanical engineer,11,156.56,1,0,Urban,1,Phone,Buy One Get One,1.7884695145628409
Lisa Welch,21884 Rachel Cliff,Brownmouth,23352,133.668.0697x352,Set designer,11,118.38,1,0,Surburban,0,Phone,No Offer,1.5404254582239671
Lisa Rodriguez,8545 French Well,East Claudiaville,21220,001-542-025-9158x2028,Database administrator,4,215.21,0,1,Urban,1,Multichannel,Discount,0.7242337196810815
Christopher Schultz,2568 John Locks Apt. 253,Rodriguezland,72954,(069)605-0945,Environmental consultant,9,112.29,0,1,Surburban,0,Phone,No Offer,1.5244386475843068
Greg Lamb,943 Mendez Ridge Suite 729,South Hannah,30982,+1-411-193-1471,"Psychologist, clinical",1,271.01,1,0,Urban,0,Phone,Buy One Get One,1.970048838832899
Claire Marshall,34134 Preston Shoal Apt. 996,Lake Jose,82349,692.419.9729,Restaurant manager,4,177.12,0,1,Urban,0,Phone,Buy One Get One,1.876728960780199
Bryan Hutchinson,1281 Stevens Vista,Janicemouth,79374,833-649-5788,Psychotherapist,7,131.49,0,1,Surburban,0,Web,Discount,0.6398218091291357
Madison Moore,410 Sanchez Unions Suite 058,Lake Jamieberg,40363,(692)937-4245,"Chemist, analytical",10,115.01,0,1,Surburban,0,Phone,Buy One Get One,1.0888347473447526
Jasmine Maldonado,3701 Felicia Brook,Copelandburgh,25956,871-703-9631,Senior tax professional/tax inspector,1,1146.36,1,1,Surburban,1,Multichannel,Buy One Get One,2.29048375954672
Jessica Holt,793 Joshua Center Apt. 440,Joshuamouth,57260,001-853-792-5781x1001,Automotive engineer,7,63.51,1,0,Surburban,1,Phone,No Offer,0.9923429991631056
Ashley Washington,315 Harris Tunnel,New Sarahburgh,16294,001-147-149-0519,Airline pilot,1,453.18,0,1,Surburban,1,Web,No Offer,1.2355223149848815
Ashley Spears,994 Morrison Harbors Apt. 121,South Alicia,39078,(496)882-0027x72374,"Sales professional, IT",1,340.98,1,0,Urban,0,Web,Buy One Get One,0.31302993054045225
Jason Ramos,04315 Anna Junction,Harveyborough,52410,+1-301-920-4673x2278,"Administrator, local government",6,638.06,1,1,Rural,1,Multichannel,No Offer,0.6623395628650952
Nicholas Walter,36322 Kathy Radial Suite 156,Robinstad,88556,001-590-854-2157x76939,"Teacher, special educational needs",1,45.9,1,0,Urban,1,Web,Discount,1.0996117052003402
Randall Mccall,807 Derrick Courts Apt. 209,Gravesside,26716,+1-763-643-9350x3422,Facilities manager,11,367.53,1,0,Rural,0,Web,No Offer,2.802345062824044
Courtney Hunt,956 Nelson Ridges Suite 137,Stephanieborough,92684,001-053-333-4086x15953,Banker,7,29.99,1,0,Urban,0,Phone,No Offer,0.7066464491008295
Kevin Chambers,12227 Murphy Road,Davidburgh,90001,(608)039-2616,Sports development officer,2,251.2,1,1,Urban,1,Web,Discount,1.312133271212775
Randy Carroll,083 Edward Points,Lake Randyburgh,30261,633.001.1730,Veterinary surgeon,10,71.06,0,1,Surburban,1,Web,Discount,0.9633431073436476
Gregory Brooks,2270 Taylor Burgs Suite 834,New Stephenfurt,30665,(476)758-1411x83045,"Sound technician, broadcasting/film/video",9,386.24,0,1,Urban,0,Multichannel,Buy One Get One,1.5293102616461862
Brian Barry,82465 Jones Spurs,Lake Brandonberg,59451,+1-011-183-6313x6568,Sports development officer,8,153.91,0,1,Surburban,0,Web,Discount,1.7293841399443983
Angela Smith,36611 Ruiz Ville,South Mary,42811,667.120.8900,Automotive engineer,6,29.99,0,1,Rural,1,Phone,Buy One Get One,0.7261615642206547
James Montgomery,767 Steven Stream,East Jessicafort,7553,435-360-9561x41749,Systems analyst,1,29.99,1,0,Surburban,1,Phone,Discount,1.2318512876957268
Hunter Salinas,81943 Morales Radial,Vickiport,24253,120.207.8886x74340,"Engineer, production",6,760.17,0,1,Surburban,1,Multichannel,No Offer,0.6306268378068924
Christopher White,10293 Beck Shores Apt. 989,Jasminestad,55925,(151)416-7656x5999,Fast food restaurant manager,10,48.98,0,1,Surburban,1,Web,Buy One Get One,1.1278778582572069
Jessica Smith,4940 Holmes Grove Suite 299,West Courtneystad,47171,408-096-8681x57897,Local government officer,5,75.93,1,0,Urban,0,Phone,Discount,2.023605944719157
Thomas Fuentes,15482 Anderson Square,Lake Linda,59437,489-096-2389x743,Chiropractor,6,329.08,1,1,Rural,1,Web,No Offer,0.9615379148596708
Jonathan Ruiz,7326 Jill Village Apt. 866,Lake Andreaview,72808,349.833.5446x7906,Police officer,8,217.73,1,0,Rural,1,Phone,Discount,0.7997569470036233
Rebecca Reed,646 Steven Falls,South Logan,7195,(678)257-7386,Copy,2,1036.41,0,1,Surburban,1,Phone,No Offer,1.586026014571869
Randall Allen,71901 Smith Flats Suite 934,East Gabrielle,61516,394.242.0562x837,"Therapist, sports",8,209.26,0,1,Surburban,1,Phone,Buy One Get One,0.8905536995905644
Tammy White,81474 Allison Union,Crystalton,19287,177.859.4624,Site engineer,10,196.29,1,0,Urban,1,Phone,No Offer,1.4458552061094183
William Norton,19631 Watson Island Apt. 000,Heathside,23164,001-987-852-4004x10537,"Civil engineer, consulting",8,86.46,0,1,Surburban,0,Web,Discount,0.8192980435270002
Ashley Burton,404 Nicholas Village Apt. 047,Ramosburgh,99779,707.949.9337x251,Secondary school teacher,7,172.9,1,0,Surburban,0,Phone,No Offer,1.1674154995505197
Brent Sampson,667 Christensen Neck,Ericfurt,62097,625-437-9916x04242,Product manager,5,29.99,0,1,Rural,0,Web,No Offer,0.22472890978029447
Gloria Newton,555 Steven Brooks,Natalieton,9980,(811)127-2539,"Surveyor, building",11,33.7,0,1,Surburban,0,Phone,Discount,0.13661009680545266
Jeremy Willis,40630 Brett Trafficway,Poolestad,25902,001-988-026-6535,Exercise physiologist,6,39.3,0,1,Urban,0,Phone,Discount,0.8494289624346555
Suzanne Smith,3199 Anthony Forge Suite 761,West Loganstad,51133,+1-976-086-2102x984,Air cabin crew,6,41.15,1,0,Surburban,1,Web,Buy One Get One,0.503431840934432
Joshua Norton,584 Richard Fall,Ginastad,26401,001-465-870-1927x92432,Food technologist,2,679.27,1,0,Urban,1,Web,Buy One Get One,1.3546491531128713
Connie Short,2003 Smith Gardens Apt. 091,Jenkinsview,68789,(919)227-8244x29018,Higher education lecturer,10,98.21,0,1,Urban,1,Web,Discount,1.3409846790991315
Dr. Allison Armstrong,43117 Jason Village,East Stephenbury,20650,+1-340-042-3193x511,Gaffer,3,107.6,1,0,Urban,0,Phone,Buy One Get One,0.21771370728915265
Megan Klein,956 Andrew Manor,Yuport,45111,683-349-6934x1460,Claims inspector/assessor,6,417.69,0,1,Surburban,1,Multichannel,Discount,1.7704131073810032
Michael Ray,8290 John Burgs Apt. 919,Port Nancymouth,83441,2532704312,"Solicitor, Scotland",1,100.33,0,1,Urban,0,Web,Buy One Get One,2.320286198147688
Johnny Short,05836 Yolanda Extensions,Denisebury,2854,001-822-224-0098x87387,Tourism officer,6,189.27,1,0,Urban,0,Phone,Discount,0.9053813663706496
Elizabeth Carter,3072 Ramirez Shore,West Sarah,47416,(644)762-3991x51932,Actuary,1,308.67,1,0,Surburban,0,Web,No Offer,1.252495679993857
Denise French,52555 Stone Island,Andreatown,22815,413.945.3382,"Chemist, analytical",2,29.99,1,0,Surburban,0,Phone,No Offer,1.625030539339404
Terry Yang,520 Rivera Plains Apt. 300,Robertbury,76791,001-275-579-1912,"Social research officer, government",6,34.57,0,1,Surburban,0,Web,Buy One Get One,1.998443772407368
David Graves,19749 Steven Circles,Lake Melinda,7813,107.293.1052,Research scientist (maths),7,769.43,0,1,Surburban,1,Web,No Offer,1.3350552769197488
Jordan Walsh,42338 Hall Isle,Ronaldbury,38702,515.720.9178x5878,English as a foreign language teacher,1,490.82,1,0,Surburban,1,Web,Buy One Get One,0.7362221045874211
Michael Martinez,37683 William Road Suite 033,West Chrismouth,8340,236.385.5447x67156,Phytotherapist,3,480.74,1,0,Urban,1,Phone,Buy One Get One,0.9004989817785982
Dana Thompson,3412 Reed Trafficway,Latoyamouth,36752,+1-587-050-4888x194,"Social research officer, government",6,469.9,0,1,Surburban,1,Phone,Discount,1.0521933592322537
Ashley Logan,176 Eric Plain,Stephanietown,90734,(642)556-0123x31948,Insurance account manager,2,29.99,1,0,Surburban,0,Web,Buy One Get One,0.6723112561485589
Billy Bullock,81634 Scott Trafficway,Greenborough,22698,(279)686-0789x840,Careers information officer,3,199.38,1,0,Surburban,0,Web,No Offer,1.3845433345113345
Heather Huber,423 Jones Parkways,Port Amanda,3574,+1-500-506-0075,"Therapist, speech and language",5,708.62,1,0,Surburban,1,Phone,Discount,0.9403383694953722
Michelle Johnson,628 Lindsay Branch,Port Travisfort,35075,(212)067-4923x772,Economist,11,204.68,0,1,Urban,1,Phone,Discount,1.6823559420918768
John Williamson,626 Dixon Branch,Petersonton,26469,001-374-480-4098x8074,Seismic interpreter,11,304.38,0,1,Surburban,0,Multichannel,Buy One Get One,1.46761096007972
Jessica Jones,15237 Phillip Extension Suite 722,North Melissa,64631,(005)480-0822x93838,Corporate treasurer,3,87.21,0,1,Surburban,0,Web,Discount,1.1564036080502798
Robert Brown,71953 Guzman Forges,Chentown,47418,+1-520-225-1105,"Administrator, local government",5,227.75,1,0,Surburban,0,Web,No Offer,0.5104044729113836
Kayla Perry,77285 Jackson Roads Suite 503,Kariton,35553,+1-251-149-0474x58419,Metallurgist,10,75.5,0,1,Surburban,0,Web,Discount,1.8139542323640645
Savannah Marshall,2441 Jonathan Gardens Suite 788,Doughertymouth,35447,+1-653-352-2728x074,Prison officer,5,161.85,0,1,Surburban,0,Phone,Buy One Get One,1.2119196743367413
Susan Carey,83762 Larry Expressway Apt. 642,Nortonberg,47183,4792661323,"Education officer, community",8,173.81,1,0,Urban,0,Phone,Buy One Get One,0.7362938011505262
Samantha Thomas,3744 Mitchell Row Suite 054,Floresport,87628,001-334-545-4925,Special effects artist,8,408.91,1,1,Surburban,0,Phone,No Offer,1.050675854554848
Mark Herring,3118 Michelle View,East Brendan,69051,+1-445-036-3313x8457,"Scientist, product/process development",9,42.08,0,1,Surburban,1,Phone,Discount,1.7366621905040376
Gloria Munoz,712 Jerry Plaza,Jonesport,7638,0963437431,Paediatric nurse,10,137.74,0,1,Surburban,1,Web,No Offer,1.2713859211122034
Stephanie Hernandez,6851 Dalton Canyon Apt. 791,North Meagan,61162,001-892-052-7672x612,Armed forces training and education officer,8,426.03,1,1,Urban,1,Multichannel,No Offer,1.4870009819801069
