,name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
3429,Matthew Torres,9496 Charles Branch Suite 375,Maureentown,85461,480.319.4437,Writer,2,417.04,0,1,Surburban,1,Web,Buy One Get One,1.2973955843198368
47019,Megan Mcclain,8977 Michelle Valley Suite 576,South Duane,95804,(903)361-9017,"Teacher, early years/pre",10,29.99,0,1,Urban,0,Web,Buy One Get One,1.524929984984122
35524,Tina Payne,34637 Christopher Bridge Suite 571,East Craigtown,31650,262-296-4431,Horticultural consultant,2,195.18,0,1,Surburban,1,Phone,Discount,0.8686831618307579
28794,Elizabeth Kelly,698 Victoria Lock,Port Cameronhaven,61464,245.777.3922x51361,Planning and development surveyor,2,958.13,0,1,Urban,1,Multichannel,Buy One Get One,2.0623603367117576
39417,Timothy Johnson,87964 Campos Springs,Millsberg,63529,875-110-2872,English as a foreign language teacher,6,29.99,1,0,Urban,0,Web,Discount,0.6116019986215364
25134,Matthew Castro,31640 William Mills Suite 803,Pearsontown,7262,9611198779,"Designer, furniture",5,372.85,1,0,Urban,0,Web,Buy One Get One,1.132809369156935
43639,Rita Carey,40318 Paul Bridge Suite 363,South Mario,27081,691-749-6510,"Chemist, analytical",8,29.99,1,0,Urban,1,Web,Buy One Get One,1.0875116515348688
12538,Aaron Morris,9563 Hill Ridge,Buchananview,35237,(732)150-8781,Applications developer,12,147.23,1,0,Surburban,1,Phone,Discount,0.5885933463706114
19647,Richard Underwood,168 Michael Square,New Veronica,89145,001-188-770-3482x0702,Maintenance engineer,8,29.99,0,1,Urban,1,Web,No Offer,0.6703494981450935
53980,Lauren Waters,7636 Brown Walk Apt. 143,Durhamchester,56465,267.870.1351,Volunteer coordinator,6,47.84,0,1,Urban,1,Phone,Buy One Get One,0.4825525989717489
18657,Karl Clark,35748 Roger Way Apt. 873,Pereztown,38390,792.109.9897,Midwife,5,88.31,1,0,Surburban,1,Phone,No Offer,1.0090286669900557
35533,George Smith,078 Erin Glens,Spencerchester,46162,+1-283-295-0567x358,Animator,6,188.89,0,1,Urban,0,Phone,Buy One Get One,1.8987172922146531
10926,Richard Lee,15261 Steven Pike Apt. 947,Davisside,50748,226-509-7725x911,"Research officer, trade union",6,342.75,0,1,Rural,1,Phone,No Offer,0.9491249193750952
42541,Sally Thompson,160 James Neck Suite 699,Paulport,8431,001-217-454-9241x27700,Accounting technician,12,30.39,0,1,Surburban,0,Phone,Buy One Get One,0.6518599159402698
52397,Haley Stevenson,7210 Waller Circle Suite 605,Cardenasmouth,9907,(716)577-6886,Chiropodist,1,476.15,0,1,Urban,0,Multichannel,Discount,0.8539392243023226
47644,Erin Reed,06834 Miller Mountain Apt. 664,Hernandezside,17314,715.631.5247x34867,Optometrist,6,29.99,1,0,Surburban,1,Phone,No Offer,1.192025357420872
61999,Carol Daniels,0243 Olivia Port Apt. 968,Tinaview,57058,+1-735-748-0238x4098,Management consultant,4,688.28,1,0,Rural,1,Multichannel,Buy One Get One,2.1761862540097963
48040,John Foster,2882 Lee Lane,North Brianland,70244,3701819236,Research scientist (physical sciences),2,29.99,1,0,Rural,1,Phone,No Offer,1.0999001217691506
17090,Rodney Green,68462 Heather Estate,East Michealstad,15662,+1-291-528-0567x46375,Energy engineer,1,374.8,0,1,Surburban,0,Web,No Offer,1.2463080173006609
24454,Julie Alvarez,7262 Johnson Field,West Jimmy,7542,785.006.5954x722,"Surveyor, insurance",7,314.65,1,1,Surburban,0,Phone,Buy One Get One,1.3353996453005594
55739,Crystal Hall,6225 Carrie Alley,Port Robertland,48960,+1-526-998-0909x034,Television/film/video producer,9,70.08,1,0,Surburban,0,Web,Discount,1.326343482895771
23364,Andrew Miller,2950 Hester Well Apt. 264,Blackshire,14095,908-413-1869,Furniture designer,10,48.72,0,1,Rural,1,Phone,Buy One Get One,1.2663420252191817
12496,Dean Mendez,56931 Rebecca Walks,East Christophermouth,1775,001-765-034-9595x79650,Insurance claims handler,5,62.25,0,1,Surburban,0,Phone,Discount,0.8618683122241542
24671,Taylor Morgan,9804 Jacob Villages,Port Ivan,93340,001-329-809-4897x2419,"Surveyor, mining",10,333.06,0,1,Urban,0,Phone,No Offer,2.443435988891898
51423,Micheal Hodges,8034 Johnson Skyway,South Cindyborough,96566,779-533-5675,Curator,2,436.15,1,0,Urban,0,Phone,Buy One Get One,1.2040288554750584
20417,Robert Collier,288 Simon Overpass Apt. 234,Wilsonmouth,69604,(341)243-1075x253,Rural practice surveyor,5,234.94,0,1,Surburban,1,Web,No Offer,0.5978312224994626
39278,Cynthia Shaw,2225 Tanner Mount Suite 895,Jasonstad,40419,001-715-944-9178x4230,"Administrator, arts",1,510.19,0,1,Urban,1,Multichannel,No Offer,1.1876193990653254
7775,Deborah Jones,79336 Montoya Extensions,New Marie,24820,001-854-126-9144,Estate agent,5,37.61,1,0,Urban,1,Web,No Offer,1.4263159349868122
46428,Rebekah Hickman,398 Erin Plaza Apt. 434,Port Christopher,40540,+1-599-487-7084x527,"Scientist, forensic",1,37.35,1,0,Urban,1,Phone,No Offer,2.00094433113507
53623,Angela Serrano,45668 Michael Walks Apt. 268,East Christine,69053,(603)021-9421x6960,Educational psychologist,5,29.99,1,0,Urban,0,Web,Buy One Get One,0.4181195270629269
20553,Brianna Nelson,2843 Nguyen Ridges,South Jamie,97478,(899)741-0903,Health and safety adviser,7,118.07,0,1,Urban,1,Phone,Discount,0.8009204399023353
44175,Ashley Payne,5534 Mcbride Ridges Apt. 399,Wheelerburgh,87864,239.457.1675,"Editor, magazine features",8,718.83,0,1,Rural,1,Web,Discount,0.06133246482766575
61623,James Meyer,686 Manuel Fords Apt. 511,Christophermouth,55261,589-178-1546x68525,Government social research officer,8,130.89,1,0,Urban,0,Web,No Offer,1.2617380768267925
57182,Timothy Peterson,44835 Simmons Meadows,Ryanfurt,90481,+1-378-954-8758x0201,"Engineer, technical sales",9,177.67,0,1,Surburban,1,Web,Discount,1.49806399868633
57489,Chad Horton,232 Cynthia Via,Lisastad,18137,+1-665-396-7960x741,Medical illustrator,8,290.75,1,1,Surburban,1,Phone,Discount,0.6326464022686933
19274,Kevin Hoffman,74085 Gaines Plain Suite 897,Lake John,63634,881.373.2689x930,"Programmer, multimedia",2,2382.58,1,0,Urban,1,Web,Buy One Get One,0.04421581585221823
53495,Abigail Gallagher,86285 Roy Falls Apt. 958,South Thomasmouth,22147,671.251.6256x4507,Printmaker,12,29.99,0,1,Rural,0,Web,Discount,1.6344902615896195
18512,Randall Burns,0038 Karen Mills Suite 593,West Dawnmouth,36972,361.500.7980x7216,"Surveyor, minerals",6,29.99,0,1,Surburban,1,Web,Buy One Get One,0.8285658660410512
47397,Douglas Huffman,091 Barnes Springs,West Ryanborough,50652,102-228-4993x92874,"Designer, ceramics/pottery",1,226.73,1,1,Surburban,1,Web,Buy One Get One,0.8906269623997413
43780,Michael Marquez,922 Lori Street,Kayleeview,84424,146.624.4246x125,Holiday representative,2,336.52,1,0,Rural,0,Multichannel,No Offer,1.7885282017934063
59789,Nancy Hernandez,1210 Robert Heights,Hardyside,80471,001-149-151-0073x15531,"Development worker, international aid",10,29.99,0,1,Surburban,0,Phone,No Offer,1.5366722191374615
6478,Emma Allen,65094 Mitchell Stravenue,Leahchester,31114,(612)925-0960x212,Police officer,6,46.71,1,0,Urban,1,Phone,No Offer,1.278513870525989
46008,Dr. Katie Mullen,1161 Anthony Pike Suite 823,East Valeriehaven,66187,086.648.5485,Art gallery manager,10,29.99,1,0,Urban,1,Web,Buy One Get One,1.1843813525373987
205,Andre Scott,31266 Danielle Springs,Lake Kellytown,4225,939-707-4559x4168,"Nurse, learning disability",8,575.62,1,1,Urban,1,Multichannel,Discount,0.9572332631685956
4507,Jodi Johnson,36066 Robert Drive Apt. 480,Johnshire,72236,(946)044-8187,Technical sales engineer,2,266.46,1,1,Urban,1,Phone,Discount,0.7310245537639349
42710,Sarah Taylor,24902 Henderson Drive,New Todd,80242,8422285566,"Conservator, museum/gallery",7,30.43,0,1,Surburban,0,Phone,Discount,0.6622002210024653
51641,Jean Duncan,8089 Luna Keys Apt. 607,Port Mary,1919,(840)697-7031,Proofreader,8,29.99,1,0,Surburban,0,Phone,Buy One Get One,2.201749810478567
48339,Christie Jones,78272 Ricardo Club Apt. 864,Normaberg,99173,001-888-322-5807x12274,"Therapist, occupational",3,108.63,0,1,Surburban,1,Web,Buy One Get One,0.31120602704478884
25281,Lisa Rodriguez,370 Michael Glen Suite 434,Longmouth,88034,(085)452-8527x0319,Engineering geologist,10,29.99,0,1,Rural,0,Web,No Offer,1.0246714004628297
52171,John Evans,2308 Heather Prairie Suite 564,East Richardfort,34021,005-867-7536x056,"Psychologist, clinical",2,269.64,1,0,Rural,0,Phone,No Offer,0.572858731818667
10167,Dr. Lisa Bell PhD,690 Jorge Stravenue Apt. 820,North Adam,36945,001-161-694-9561x62619,"Journalist, newspaper",2,295.87,0,1,Surburban,1,Phone,Buy One Get One,1.5635264275856908
35931,Lucas Morgan,050 Rangel Shores,Port Jessicaton,15071,837-151-5863,Theatre stage manager,11,79.22,0,1,Surburban,0,Phone,Buy One Get One,2.7258545843446504
1631,Jonathan Heath,24625 Edward Path,East Antonio,2557,510.683.7632,"Biochemist, clinical",3,2079.58,1,1,Rural,1,Multichannel,Buy One Get One,1.425595552397021
27351,Loretta Williams,984 Charles Rue,Lake Heather,53283,+1-457-375-6192x6991,Actor,12,323.26,0,1,Surburban,0,Web,Buy One Get One,0.8751942314193705
8019,Nichole Herrera,43190 Kim Summit,New Robertmouth,63842,940-933-3923,Barrister's clerk,10,216.74,1,0,Surburban,0,Web,No Offer,1.7684913546953167
33258,Todd Lee,50016 Taylor Flats Apt. 459,Adrianburgh,65329,+1-264-080-8689x081,"Psychologist, prison and probation services",10,385.49,1,0,Rural,0,Web,No Offer,1.0917811100867454
57432,Duane Pearson,32702 Nathan Centers Suite 791,Melissabury,95504,(833)290-8692x177,Gaffer,7,99.93,1,0,Surburban,1,Web,Buy One Get One,0.726522275413336
3977,Elizabeth Walsh,35177 Erik Valleys Apt. 526,Port Miketown,23415,682.292.1390,Theatre manager,7,90.19,0,1,Urban,1,Web,Discount,1.250186266844434
16306,Antonio Adams,49715 Ibarra Ports,Lake Richard,72000,5553570940,Orthoptist,9,42.08,1,0,Urban,0,Phone,Buy One Get One,1.0843521223178714
26756,Eric Gibbs,8107 Flores Greens,West Gregoryville,36774,+1-904-443-7893x78274,Regulatory affairs officer,10,266.89,1,1,Urban,1,Multichannel,Buy One Get One,-0.1192579139283807
2370,David Rodriguez,3767 Oliver Orchard,Port Javier,65513,(097)054-1026,Paramedic,10,86.18,0,1,Urban,1,Web,Discount,1.1449540818737491
38663,Jennifer Thompson,5707 Huang Vista,Acostaside,59248,933.695.6253x081,Early years teacher,1,350.85,1,0,Surburban,1,Phone,No Offer,1.4652033228956483
36069,Judy Roberts,50536 Jessica Park,West Jessicaberg,88859,(017)718-0949,Fine artist,4,145.92,0,1,Rural,1,Web,No Offer,0.6537760808280553
25071,Thomas Serrano,37358 Patricia Mission,North Jamie,74028,(695)364-4686,Bonds trader,6,351.25,1,1,Surburban,0,Web,Discount,1.0456463007597596
12276,Deborah Brown,331 Johnson Manors,Colonborough,51546,254.899.8663x01008,"Psychologist, clinical",10,126.87,0,1,Surburban,1,Phone,Discount,1.2960249330537836
18518,Derek Pacheco,8928 Ross Spur Suite 660,Stanleyhaven,1926,3457761769,Quality manager,10,35.69,0,1,Surburban,0,Web,No Offer,0.7628096589472357
9852,Mary Green,0942 Brenda Meadows Apt. 363,East Alyssamouth,18817,5201555633,Architect,3,82.31,0,1,Surburban,0,Web,Buy One Get One,0.920674550042058
5300,Yvonne Cannon,992 Ho Ville Suite 628,Lake William,90517,9963944260,Archivist,2,758.65,1,1,Surburban,1,Multichannel,Discount,1.3024082693648529
35027,Lynn Craig,5204 Ramsey Walks Suite 880,Carterhaven,38758,147.932.3050x99268,Control and instrumentation engineer,2,136.94,0,1,Surburban,1,Phone,Discount,0.5509274082940017
50545,Wanda Tate,6173 Hoover Village,New Danielle,50403,(268)558-4478x38586,"Pharmacist, hospital",1,367.69,1,0,Urban,0,Phone,Buy One Get One,0.9157966849852096
4642,Matthew Johnson,0381 Stephanie Trace,Lake Johnberg,52207,001-745-520-2256,"Engineer, building services",3,572.57,1,0,Urban,1,Web,Discount,1.6354409757889066
38277,Adam Johnson,27709 Donna Walks Suite 814,Port Barbarafurt,38594,877.703.5920x0577,Furniture designer,3,190.39,0,1,Surburban,0,Phone,Buy One Get One,0.9829163318244752
3285,Christopher Ruiz,6658 Benson Inlet Apt. 244,New Katrinaville,9914,(629)249-8441,Local government officer,8,540.57,1,1,Urban,1,Web,No Offer,0.9048727897136972
13423,Angela Frazier,77054 Alexander Haven,South Angelaland,45549,(917)493-6546,"Runner, broadcasting/film/video",1,29.99,0,1,Urban,1,Web,No Offer,2.3061850239617114
19771,Susan Fox,36698 Mcgee Mountains Apt. 934,Port Brittanyland,60669,227-740-5549,Nutritional therapist,1,29.99,1,0,Surburban,0,Phone,No Offer,2.6152707035865377
46854,David Schwartz,193 Robert Mission,West Leslieville,35449,001-098-820-2667,Ecologist,1,319.35,1,1,Urban,0,Phone,No Offer,1.119274962727383
27711,Audrey Rocha,4899 Kirk Meadows,Joshuahaven,36140,118-543-3920x8672,"Scientist, clinical (histocompatibility and immunogenetics)",3,273.66,1,0,Rural,1,Multichannel,Discount,1.6516387101842605
32714,James Brown,72664 Boyle Mills,Aprilside,37087,7131294784,Chartered public finance accountant,1,278.12,1,0,Surburban,0,Web,Buy One Get One,1.478400911998972
22479,Charles Davenport,74466 Gibson Island Suite 534,North Nicholehaven,3550,400-033-4165x04744,Copy,12,227.06,1,1,Urban,1,Multichannel,Buy One Get One,0.9424818797939196
23389,Joseph Rodgers,3504 Curry Avenue,New Matthew,59376,779-882-8952x1940,Science writer,1,199.57,0,1,Rural,0,Web,No Offer,0.8698391303853493
32985,Terri Davis,4327 Morris Pine Suite 446,Thomastown,1147,5086059132,Geophysical data processor,9,83.41,0,1,Surburban,1,Web,Discount,1.209641958219536
15008,Douglas Lowe,05564 Cobb Loop Suite 037,Oconnellstad,78669,6325568512,Systems analyst,2,732.17,0,1,Surburban,1,Phone,No Offer,1.189033587201675
475,Stacy Brown,324 Stephanie Ranch Apt. 964,Lake Benjaminburgh,23392,(387)005-3870x77834,Intelligence analyst,8,34.8,0,1,Surburban,1,Phone,Buy One Get One,0.9957626027652926
14698,Angela Rodgers,484 Stephanie Circle Apt. 821,Markberg,52902,+1-692-965-9239x40139,Public affairs consultant,1,711.34,1,1,Surburban,1,Multichannel,Discount,1.1544518898024427
11003,Jeremy Pratt,38840 Hebert Brook Apt. 078,Kruegermouth,17391,001-911-151-8529,Tourist information centre manager,9,29.99,1,0,Surburban,0,Web,No Offer,1.1963845887193203
38154,Dr. Lisa Baker,568 Cook Parkways,East Derrick,99786,001-223-167-3688,"Pilot, airline",9,141.23,0,1,Rural,0,Phone,Discount,0.8975923695264614
26339,Rachel Mason,58260 Baker Locks Suite 430,West Jenniferfurt,32210,092-897-5447,Health physicist,9,82.13,0,1,Surburban,0,Phone,Buy One Get One,1.2265271712301185
33880,Amanda Schmidt,6147 Melanie Manor,Perkinsmouth,68030,5985792461,Fine artist,9,271.29,0,1,Urban,0,Web,No Offer,1.5773272728730934
15366,April White,2134 Jennifer Camp,East Matthewfort,2187,001-746-185-2103x58376,Musician,10,131.66,0,1,Surburban,1,Web,Discount,0.8101999319437118
33537,Terrence Bush,04612 Oconnor Oval,Juarezmouth,2038,001-363-907-9658x141,Field trials officer,11,309.24,0,1,Surburban,0,Phone,Buy One Get One,0.3422538265898296
24861,Jeffrey Chavez,26429 Tyler Key Apt. 031,Vegaburgh,71619,139.313.1358,"Civil engineer, consulting",9,144.37,0,1,Rural,1,Phone,Buy One Get One,1.2530545058423954
40268,Laura Bautista,79965 Jill Tunnel Apt. 674,Jenniferburgh,86614,001-121-922-2968,"Engineer, electrical",1,549.71,0,1,Surburban,1,Web,Discount,0.2361686044457022
36450,William Hudson,671 Matthews Plain,New Matthewland,72164,0732186976,Games developer,7,381.44,0,1,Surburban,0,Multichannel,Discount,1.2708925396466129
17698,Christopher Carroll,989 Gonzalez Mountains,Debrastad,26026,(317)211-9012,Best boy,6,157.58,0,1,Surburban,0,Phone,No Offer,0.7939947459564748
41019,Kyle Morse,501 Michaela Cape Suite 400,Johnstonburgh,52589,+1-589-609-7594,Manufacturing engineer,2,50.88,1,0,Rural,0,Phone,Buy One Get One,1.406769569655664
48300,Steven Wilkerson,6255 Mejia Landing,Nguyenchester,55904,171-637-0589x2928,Field trials officer,1,208.62,1,0,Surburban,0,Multichannel,Buy One Get One,0.9773979493560091
62931,Jennifer Marquez,11124 Williams Land,Jamesfurt,97196,661.817.2181x4750,Video editor,1,73.57,0,1,Urban,0,Web,Buy One Get One,0.9608182612864312
50731,Lisa Rodriguez,36325 Richardson Divide Apt. 878,Alyssafurt,57600,074-045-6684x53397,Insurance broker,5,538.72,1,0,Urban,1,Phone,Buy One Get One,0.8463305419341676
54183,David Wright,944 Phelps Brook,Valentineside,83950,164.716.6952x600,Corporate investment banker,9,53.94,0,1,Surburban,1,Phone,No Offer,0.4216581318049933
62821,Carrie Parker,16836 Hayes Gateway,Jennyport,50510,+1-452-484-8859x2692,"Therapist, music",2,431.53,0,1,Urban,0,Web,No Offer,1.194608326562094
29463,Leslie Richards,701 Gill Canyon Apt. 340,Mackburgh,35179,437.282.9317,Fisheries officer,10,180.34,0,1,Urban,0,Web,Buy One Get One,2.2058816366212635
10869,Benjamin Weber,3163 Larry Flats Apt. 932,Elizabethtown,8586,(119)534-1032,Operational researcher,3,119.52,0,1,Surburban,1,Phone,No Offer,2.186383180947292
2021,Natalie Bartlett,93086 Kenneth Fields Apt. 348,Port Sarahville,72365,103.093.7702,Human resources officer,3,212.25,0,1,Surburban,0,Phone,Buy One Get One,1.5959286098873409
30236,Sean Garner,9951 Carpenter Village Apt. 138,South Benjamin,928,001-384-209-3291x534,"Research officer, political party",6,79.32,1,0,Urban,0,Phone,Buy One Get One,0.988032968869206
25016,Jessica Harvey,7181 Gonzalez Walk Apt. 054,Lake Jamiefurt,57047,(830)816-9278x28996,Insurance account manager,4,29.99,1,0,Surburban,0,Web,Discount,1.1975353021542128
12403,Courtney Collier,76375 Rodriguez Squares,Morganchester,47885,(184)090-2037x0318,"Education officer, environmental",8,29.99,1,0,Urban,0,Phone,No Offer,1.34666494591117
46678,Scott Sullivan,64159 Mcclain Spur,Lake Evelynberg,84478,2412595375,Retail buyer,10,117.92,0,1,Urban,0,Phone,Buy One Get One,0.7123455965867616
50982,John Zimmerman,01795 Ashley Neck Suite 311,Suzanneville,21846,968-385-8110,IT sales professional,10,167.35,0,1,Urban,0,Phone,Buy One Get One,0.4864783622931193
10474,Manuel Martin,82302 Guzman Court,East Kevinstad,91996,(388)044-0872x376,Geophysicist/field seismologist,9,84.47,0,1,Urban,0,Phone,No Offer,0.2604725571726392
56390,Tracy Davis,482 Krause Dale Suite 557,Kathyview,84624,029-544-0177,Interpreter,5,808.92,0,1,Surburban,1,Multichannel,No Offer,1.8937519291402165
62772,Alyssa Aguirre,79095 Raymond Green Apt. 408,New Rachael,21511,844.142.4952x156,Investment analyst,4,357.68,1,1,Surburban,1,Phone,Buy One Get One,0.9436883070019626
39699,John Foster,8308 Green Radial Apt. 986,Welchside,30954,153.798.4427,Public librarian,2,329.05,1,0,Surburban,1,Web,No Offer,1.1728106232245439
44253,Allison Moyer,04294 Carlson Roads,East Jared,98749,983.796.8549,"Producer, television/film/video",1,733.1,1,0,Surburban,1,Phone,No Offer,0.6504876372052423
9081,Jesse Contreras,67678 Amanda Ford Suite 574,Shahville,24867,(149)521-1037x36571,Television production assistant,7,152.45,1,0,Urban,1,Web,Discount,0.7354567291811549
40887,Wanda Lynch,30419 Matthews Viaduct,Rachelside,4798,325.747.0403,Financial controller,9,29.99,1,0,Surburban,1,Web,No Offer,0.9297980947323644
30209,Sarah Hall,66789 Smith Meadows Suite 224,Johnsonmouth,81448,(044)312-0321,"Chemist, analytical",6,385.44,0,1,Urban,0,Phone,Discount,1.5932356738322802
17849,Jon Potts,462 Anthony Extensions,New Nancyshire,78075,304-325-9442,Insurance claims handler,5,45.34,0,1,Surburban,1,Phone,Discount,1.6563177468399362
58540,Laura Harrison,8662 Bryan Terrace Apt. 517,Stephenhaven,12052,1237613799,Retail banker,2,211.86,0,1,Urban,0,Phone,Buy One Get One,1.6494230304432833
60572,Brandon Brown,4144 Matthew Alley Apt. 558,Evanston,46968,001-174-497-4167x3246,"Buyer, retail",3,321.03,1,0,Urban,0,Phone,Discount,1.1683183233445669
3026,Nicholas Olsen,67605 Mclaughlin Isle,Jennifershire,19876,369-826-1300x840,Operations geologist,9,29.99,0,1,Surburban,0,Web,Buy One Get One,1.2320436501319454
26602,Julian King,6001 Vaughn Glen,Owensmouth,94199,566.099.2843,"Surveyor, insurance",1,1651.3,0,1,Surburban,1,Web,Buy One Get One,0.2363272726634685
37188,Jeffrey Duran,671 Patel Ramp,Joshuaside,57431,159-096-9491x5701,Equities trader,1,491.73,1,0,Surburban,0,Phone,Discount,1.076852591218291
10077,Jill Schmidt,58774 William Common Suite 833,South Jenniferbury,69315,001-056-654-2608,"Designer, blown glass/stained glass",9,161.26,1,0,Urban,0,Web,Buy One Get One,0.8352493947507194
14138,Rachel Scott,1308 Miller Shoal Apt. 896,Cookport,38446,(053)783-7605,"Accountant, chartered certified",4,29.99,1,0,Urban,1,Phone,Buy One Get One,0.7006836880468712
1509,William Cunningham,25427 Jonathan Bridge Apt. 587,Wallaceburgh,31025,385.218.3981x86505,Statistician,1,264.94,1,0,Surburban,0,Web,Discount,1.0954933411281953
46709,Charles Rivera,4840 Jeffrey Green Apt. 512,Lake Davidhaven,46270,4699958628,"Engineer, aeronautical",3,116.01,1,0,Rural,1,Web,Discount,1.9800174492745808
18360,Angela Lynn,0098 Harper Park,Tammyburgh,55269,525-534-7380x08157,Hotel manager,10,368.09,0,1,Urban,0,Phone,No Offer,1.2902901286520203
18134,Pamela Thomas,29751 Armstrong River,Masonmouth,99387,578.949.2831x2137,"Lecturer, further education",3,233.19,0,1,Urban,1,Web,Discount,1.4375379652641782
13140,Jennifer Jacobson,641 Mitchell Court,Jeffersonport,2000,593.723.5328,"Research officer, trade union",4,1011.91,1,1,Urban,1,Web,Discount,0.9584690704659145
58042,Russell Alvarez,2581 Delgado Village,Kennedyport,69725,+1-681-896-9055,Site engineer,1,102.02,0,1,Urban,0,Phone,Discount,0.8095933287203894
41700,Angela Bowen,42980 Stacy Glens Suite 216,Rogerston,25598,(784)647-8022x9145,Horticultural therapist,4,619.36,1,1,Rural,1,Phone,Buy One Get One,0.9920544110819688
58172,Stacy Gordon,398 Lydia Cliffs Suite 208,Lake Tommy,71176,523-892-5763,"Psychologist, educational",5,126.38,1,0,Urban,1,Web,Discount,1.1095222739982278
775,Gregory Wilson,603 Bates Estates Suite 814,Richardborough,59828,(161)473-9381x6465,Police officer,11,98.05,0,1,Surburban,1,Web,Discount,1.1027957423744141
