name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
Jaclyn Valdez,6659 Li Bypass Apt. 447,North Kimberlytown,18088,+1-247-196-5492x829,Film/video editor,3,29.99,0,1,Urban,0,Web,Buy One Get One,0.979548828667565
John White,22996 Luis Wells,East Amber,48405,831.158.7852,Print production planner,8,271.86,0,1,Urban,1,Multichannel,Discount,1.1839249682084372
Brian Tate,844 George Ports,Port Sherriview,81827,+1-614-066-9797,"Geneticist, molecular",8,499.69,0,1,Surburban,0,Web,Discount,1.95244875984748
Keith Everett,6395 Jeremy Isle,Feliciastad,63213,9283830531,Broadcast engineer,8,735.33,0,1,Surburban,1,Web,Discount,0.3183205519319949
Brandon Vasquez,905 Trevor Run,Cooperhaven,37030,679.854.0118,Public house manager,3,91.77,0,1,Surburban,1,Web,Discount,1.2362199129340057
Steven Lawson,759 Patton Green Apt. 255,North Rogerhaven,60847,750-328-7567x78552,Insurance account manager,1,394.02,1,0,Urban,1,Phone,No Offer,0.3245650989168124
Rachel Williams,88909 Gary Glen,Port John,43132,862.399.2399x78914,Careers information officer,10,54.75,1,0,Urban,1,Phone,No Offer,1.4293681939853469
James Smith,2224 James Loop,Christopherfurt,57000,001-387-798-8122x68238,"Engineer, agricultural",2,122.44,0,1,Surburban,0,Phone,No Offer,1.4638748054574742
Dr. Miranda Garcia MD,607 Gabriel Roads,South Jenniferhaven,22766,001-090-798-5043x35714,Chartered accountant,11,329.78,1,1,Surburban,0,Multichannel,No Offer,0.7389756436443311
Jonathan Sanchez,6422 Chandler Neck Apt. 045,Port John,11965,(667)839-7202x69699,Market researcher,5,133.01,1,0,Surburban,1,Phone,Discount,0.9989887075650236
Eduardo Green,4467 Scott Plaza Apt. 438,Lauriechester,68407,+1-230-873-0969x83203,Secondary school teacher,5,130.69,0,1,Urban,1,Phone,Discount,0.9076139642263088
Paul Castro,71489 Daniel Greens,Stewarthaven,1689,(260)135-2888,Museum education officer,3,188.96,1,0,Surburban,1,Web,No Offer,1.1012711499976264
Juan Terry,1271 Watts Port Suite 153,Jerryside,10708,001-546-242-6349,Chief of Staff,3,963.27,1,0,Urban,1,Multichannel,No Offer,1.4528323928652924
Cindy Whitney,9089 Kristin Fords,Millerville,43807,001-181-409-5406x433,Chief Operating Officer,3,46.42,1,0,Urban,1,Web,Buy One Get One,1.0422353060967728
Ryan Medina,8585 Young Divide Suite 326,Fisherview,16631,(143)722-7865,"Designer, textile",2,145.12,0,1,Urban,1,Phone,Discount,1.0038699555465709
Heather Villanueva,1818 Lacey Road,Brownbury,49432,940.787.3631,Community education officer,11,29.99,1,0,Surburban,1,Phone,Discount,1.3051254545268198
Lynn Davis,06459 Chen Harbor,Ericton,69657,001-690-846-8462,Health promotion specialist,1,108.23,0,1,Rural,0,Phone,No Offer,0.8501446821223025
Lee West,884 Susan Estate Suite 182,North William,26413,001-565-758-5083x7882,"Psychologist, forensic",1,269.41,1,0,Urban,0,Phone,No Offer,2.2756318623248686
James Thompson,07183 Rachael Terrace Suite 613,New Deborah,72345,416.476.0817,Hospital pharmacist,7,34.63,0,1,Urban,0,Phone,Buy One Get One,2.228956263418335
Raymond Keller,31252 Kelsey Points,Christophershire,94880,001-428-544-8595x616,Early years teacher,8,118.61,1,0,Urban,0,Web,Discount,1.8760779519607325
John Walter,4994 Maynard Hollow Suite 549,Burkechester,82240,071.296.2327,"Designer, television/film set",9,192.87,1,0,Surburban,0,Phone,Buy One Get One,0.2798420917763449
Melissa Aguilar,588 David Dale,Lamfort,5327,654.843.0800x850,"Scientist, marine",1,61.22,1,0,Surburban,1,Web,Discount,1.8155523460140417
Daniel Mills,664 Martinez Crossroad Apt. 753,Sotoshire,17266,417-701-5633x16725,Pathologist,10,177.88,0,1,Rural,0,Web,No Offer,1.4517216733159333
Charles Wilson,15350 Eric Stream,Sullivanbury,43794,(205)656-2280x972,Chief Marketing Officer,2,607.57,0,1,Surburban,1,Web,Discount,0.2478525546312975
Adriana Farrell,833 Savage Key Suite 121,Pamelaside,61468,+1-615-552-5795x334,Research scientist (life sciences),11,184.01,0,1,Urban,0,Web,Discount,0.6728595149221599
David Melendez,749 Gordon Orchard,West Christinaview,56342,+1-048-060-5709x7104,Research scientist (life sciences),12,280.14,1,0,Urban,0,Web,Discount,0.4612847244383181
Catherine Wilson,53890 Walker Cape Suite 515,Port Emilyville,42960,(264)332-4329,Network engineer,9,29.99,0,1,Urban,1,Web,Discount,0.8506517762403027
Jason Matthews,18676 Morse Well,Frankview,48361,+1-563-714-7747x938,Chief of Staff,1,101.74,1,0,Urban,1,Web,No Offer,0.8094082321285677
Rachael Daniels,34611 Everett Court Suite 513,Danielfort,80112,(047)816-6964,Television production assistant,10,106.65,1,0,Surburban,1,Phone,Buy One Get One,1.4632350621816888
Miranda Flores,9041 Holland Ridge,Watsonland,8039,+1-808-947-9055x19466,Hospital doctor,1,273.26,1,0,Rural,1,Multichannel,No Offer,0.8110607844918695
Joshua Villegas DDS,193 Allen Way,Victoriatown,32868,(545)937-4383x492,"Designer, fashion/clothing",4,61.81,1,0,Urban,1,Phone,Buy One Get One,1.7935544569693709
Felicia Graves,17151 Walker Locks Suite 473,Brownfurt,99854,+1-723-845-0199x9414,Optometrist,10,69.87,1,0,Urban,1,Phone,Discount,1.4920965027553357
Paige Allen,759 Graham Wells Suite 254,Jenniferberg,65957,001-744-389-9731x98088,Transport planner,4,43.62,1,0,Urban,0,Web,No Offer,1.0673895412296968
Matthew Richardson,00674 Alvarado Overpass Suite 307,Port Amberhaven,6393,907-533-1335x666,"Engineer, site",7,116.81,1,0,Surburban,0,Web,Discount,1.2392834600858045
Kimberly Thomas,1008 Kelly Drive Apt. 486,Port Lisafurt,24209,001-467-952-7364x437,"Pilot, airline",10,170.47,0,1,Surburban,0,Web,No Offer,1.4770126396540673
Michael Wyatt,9302 Bradley River,Michaelfort,25471,988.026.4990,Purchasing manager,9,29.99,1,0,Surburban,0,Web,No Offer,1.4600132998407758
Anne Richardson,6649 Castro Locks,Kathleenberg,63853,(098)371-0169x958,Building services engineer,8,128.47,1,0,Urban,0,Phone,Buy One Get One,1.4414369209198652
Tammy Campbell,65135 Anderson Junction,South Rebecca,72345,+1-390-494-0481x852,Ergonomist,3,29.99,0,1,Urban,0,Web,Discount,2.7464291961503418
Marcus Rice,42428 Turner Heights Apt. 723,North Eric,97573,(295)650-4932x7388,Osteopath,1,341.56,1,0,Urban,0,Phone,Buy One Get One,1.379007176616814
Amy Gutierrez,0665 Chad Stravenue,Tashafurt,5718,001-564-671-6057x043,Artist,2,102.04,0,1,Urban,1,Web,Discount,1.1788815359550489
Brenda Atkinson,70007 Erica Mountains Suite 108,Bradleyborough,49013,131.398.0285x85278,Energy engineer,7,531.33,0,1,Surburban,1,Phone,Discount,1.621163509984505
Chelsea Cruz,886 Zachary Mall,Donnafort,47951,(879)208-2248,"Teacher, primary school",10,227.81,1,0,Urban,0,Web,No Offer,0.9951528722356212
Mario Yates,41924 Craig Village Apt. 054,South Christina,59248,588.852.9407x077,"Development worker, community",7,586.55,0,1,Surburban,1,Multichannel,Discount,0.6161761289815356
Heather Hernandez,1939 Jones Mews Apt. 360,South Tamara,51030,(337)521-3283,Artist,7,55.09,1,0,Surburban,0,Web,No Offer,1.011453929822578
Robert Moyer,443 Butler Highway,South Stephanie,76858,001-705-691-8283x005,Facilities manager,1,256.84,0,1,Urban,1,Web,Discount,2.0803488974146074
Christopher Page,69605 Michael Ridge Apt. 927,New Melaniemouth,92717,001-236-264-3218x1047,"Psychologist, educational",6,137.24,0,1,Urban,0,Web,No Offer,1.5035956133897903
Zoe Rodriguez,579 Baker Radial Suite 129,Robertport,54310,077.141.6065x0013,Herbalist,6,137.51,1,0,Rural,0,Web,Buy One Get One,1.263041224084103
Thomas Moon,755 Alyssa Divide Suite 420,Matthewmouth,78184,248-872-2245x19277,Health visitor,7,29.99,1,0,Urban,1,Phone,No Offer,0.7963027265805566
Stephen Jones,327 Bryan Circle Suite 046,New Jennifer,68967,(923)799-1961x4063,Restaurant manager,3,67.4,1,0,Surburban,0,Web,Discount,0.5163313900337367
Bethany Wright,027 Lewis Mountain,South Markchester,92555,433.590.2394,Arts development officer,10,67.68,1,0,Rural,1,Web,No Offer,0.4942697799622241
Jason Aguilar PhD,41847 Julie Island,North Stephenside,10089,387.553.6614x3150,Further education lecturer,1,114.67,1,0,Urban,1,Web,No Offer,0.8993744492346372
David Brown,31348 White Wells Apt. 659,New Maryfurt,19207,2764895407,Newspaper journalist,3,31.38,1,0,Urban,0,Phone,No Offer,1.5165009994202892
Ruth Reyes,698 Kyle Forest,Torresstad,65365,737.514.9626x3665,Environmental consultant,4,62.87,1,0,Urban,1,Web,Discount,0.6588886535911547
Brian Arroyo,700 Matthew Port,South Amberview,70275,518.929.4442x77741,"Psychologist, prison and probation services",7,45.09,1,0,Surburban,0,Phone,Discount,1.151600516416272
Ronald Reyes,39570 Carl Orchard,Rhondaville,10049,169-187-0504x013,Quarry manager,4,421.72,1,1,Surburban,0,Multichannel,No Offer,1.1589145528763198
Joyce Bond,02118 Cruz Falls,East Jacobstad,81185,001-013-466-1543,Child psychotherapist,1,308.55,1,1,Urban,0,Multichannel,No Offer,1.5729991155379115
Michelle Simmons,26540 Debbie Track,Randyville,8583,(779)220-2753x09266,Mudlogger,2,139.23,1,0,Rural,0,Web,Discount,1.2056216662325812
Luke Hansen,0732 Boyd Tunnel,Steventon,71723,+1-484-427-7985x5490,Armed forces operational officer,4,57.16,0,1,Urban,1,Web,Discount,1.231294583587136
Elaine Miller,21596 Miles Rapid Suite 790,Sarahaven,47348,277.406.7508,Environmental health practitioner,8,31.52,0,1,Surburban,0,Web,Discount,0.5391252767347157
Paul Kim,8165 Olson Alley Apt. 638,Chavezshire,98396,062.552.1365x11486,Building services engineer,10,44.34,1,0,Surburban,0,Web,No Offer,0.9449593000620724
John Stewart,35046 Snyder Glens Suite 184,South Lisa,75881,(289)064-1041,Medical physicist,2,330.21,1,0,Surburban,1,Web,Discount,1.197898533262419
Leon Vasquez,121 Smith Landing Apt. 549,North Nicole,77880,8811098573,Clinical psychologist,9,57.75,1,0,Surburban,1,Web,Discount,1.670771098213385
Jason Sandoval,023 Tony Path,Port Kimberly,6981,(802)669-9107x6664,Legal secretary,1,31.57,1,0,Surburban,0,Web,Buy One Get One,0.8731635509131077
Michael Gibson,64402 Elizabeth Cove,New Anthony,46555,+1-485-118-0014x73236,Control and instrumentation engineer,11,29.99,1,0,Surburban,1,Web,No Offer,0.9136877817199752
Ashley Miller,7310 Erika Glens,Allenborough,78812,006-521-3404x874,Oncologist,2,29.99,1,0,Surburban,1,Phone,Discount,0.7611102772558893
Christian Coleman,116 Deborah Field Suite 755,New Ronald,37646,925.844.8233x42050,Education administrator,2,91.77,0,1,Surburban,1,Web,Buy One Get One,0.7640829198088968
Stephen Reed,7600 James Rest Apt. 221,Michaelmouth,617,(610)584-7363x438,Youth worker,8,236.25,1,0,Urban,0,Phone,No Offer,1.2597793429318365
Melissa Morales,440 Bruce Cove,Powersville,664,030.026.1090x4097,"Scientist, research (physical sciences)",2,173.04,1,0,Surburban,1,Web,No Offer,0.9525234295613121
Christopher Wilkins,40768 Abigail Plains,Lake Anthonyfurt,26696,001-617-324-7001x297,"Engineer, chemical",3,420.78,1,0,Urban,0,Web,Buy One Get One,2.3754392631572205
Michelle Jones,92242 Anderson Prairie Suite 851,East Jonathan,37296,(029)702-1857x4416,Pharmacologist,12,39.2,0,1,Surburban,1,Phone,No Offer,1.0567652402732526
Matthew Luna,696 Jones Extensions Suite 516,Robinsonmouth,50563,221-065-4112,Product designer,7,259.11,0,1,Rural,0,Web,Buy One Get One,1.2577529601540656
Brandon Miller,2088 Richardson Alley,Wilsonberg,31965,+1-237-036-2069x682,Production manager,7,184.69,1,0,Surburban,1,Web,Buy One Get One,1.0814183222203102
Lindsay Coleman,732 Paul Inlet,New Jonathon,26644,(163)373-6767x6971,Firefighter,10,208.04,1,0,Urban,1,Phone,Buy One Get One,1.0810997958712194
Carrie Patel,439 Alexander Rue Apt. 432,Anitaton,55323,567.416.4742,Wellsite geologist,10,105.47,0,1,Surburban,1,Web,No Offer,1.3778702351673504
Richard Cowan,08259 Mark Locks,Bondhaven,70074,129-243-6866x690,Environmental manager,1,1013.36,1,1,Surburban,1,Multichannel,Buy One Get One,1.0583424967780075
Chris Pierce,41094 Felicia Point Suite 809,West Jacquelinebury,96458,829.575.3612x71530,Chief Executive Officer,7,101.59,1,0,Urban,1,Web,Discount,1.64570615077093
Kristina Reese,80002 Dunlap Hollow Apt. 716,Floresfort,57901,+1-227-856-8741x4129,Press photographer,5,29.99,1,0,Surburban,0,Phone,Buy One Get One,0.5448472669856368
Tammy Murray,51938 Jennifer Cliffs,Morganside,52758,4090928013,"Buyer, retail",1,329.39,1,0,Urban,0,Web,Buy One Get One,1.5845650213311249
Kimberly Cooper,208 Crawford Drive,Michaelmouth,42249,861.259.3965,"Civil engineer, consulting",3,141.28,0,1,Urban,1,Web,No Offer,1.0945013791905165
Veronica Holt,319 Lawrence Walks Apt. 320,Lake Kristenhaven,3452,(546)245-2901,"Conservation officer, historic buildings",6,221.57,0,1,Urban,0,Multichannel,Buy One Get One,1.4010209487547942
Stephanie Newman,472 Victor Ranch Apt. 973,Sanchezview,11944,001-429-359-9113x27711,Fisheries officer,2,615.01,0,1,Urban,1,Phone,No Offer,0.9288155568637142
Vanessa Combs,2382 Barbara Estates Apt. 015,Port Cindy,14748,526-287-7737x178,Financial planner,1,54.57,0,1,Rural,1,Web,No Offer,1.006396889583932
Laura Kelly,355 Martha Village,New Madisonville,64153,001-915-286-0720x500,Tree surgeon,10,1075.92,0,1,Surburban,1,Web,No Offer,0.8946654617024608
Tonya Ballard,3775 Amanda Branch,West David,93613,741.622.8714x86607,Community development worker,1,883.63,0,1,Urban,1,Multichannel,Buy One Get One,2.239146012149248
Michael Lane,5418 Jennifer Shoals Apt. 023,Johnsonbury,77460,001-711-414-3072x0759,Soil scientist,10,103.61,0,1,Rural,1,Web,No Offer,1.2470078074768414
Erin James,697 Romero View,Port Michaelbury,37423,653-337-1149,Paramedic,10,58.83,0,1,Surburban,1,Web,Buy One Get One,-0.0797124502663995
Lisa Adams,4238 Stacey Grove,Butlerport,66848,7586033539,"Teacher, special educational needs",4,83.83,0,1,Urban,1,Web,No Offer,1.016627297873567
Theresa Wallace,35701 Watson Harbor,Petersonchester,49644,+1-011-861-9392,Clinical molecular geneticist,1,214.89,1,0,Urban,0,Web,No Offer,1.585983429734295
Mary Thompson,88056 Daniel Valley Apt. 292,Port Brandon,62124,+1-480-581-0836x502,Environmental consultant,7,63.4,0,1,Surburban,0,Web,No Offer,0.4012696205904607
Christina May,86235 Baker Ville Apt. 635,Schwartzview,54065,159.354.8292x56772,"Psychotherapist, child",6,315.04,1,0,Surburban,0,Phone,Buy One Get One,1.1100545082537008
Michael Brown,03678 Goodwin Ways Apt. 057,East Katelyn,17181,001-162-891-0401x016,"Embryologist, clinical",1,29.99,0,1,Surburban,0,Web,Buy One Get One,1.7556083463434071
Scott Contreras,05635 Wayne Fall,Allenstad,58486,001-132-793-6845x8507,Restaurant manager,7,306.2,0,1,Surburban,0,Web,Buy One Get One,0.8255176104864238
Beverly Ramirez,753 Gonzales Hills Apt. 616,South Stephaniemouth,42100,676.784.3839x975,Dispensing optician,3,71.82,0,1,Urban,1,Phone,Discount,1.437891302843619
Anthony Rodriguez,3127 Gill Crossroad Apt. 650,North Aaron,99342,774-240-3088,Museum education officer,9,29.99,0,1,Urban,0,Web,Discount,0.8316469242257661
Ryan Brady,944 Cooper Lodge,Davidbury,85524,881-225-4274x23930,"Engineer, electronics",5,109.64,0,1,Surburban,0,Web,No Offer,1.2467343250782743
Brenda Reed,3338 Hill Court Apt. 685,Pamelaville,32988,849-330-6485x85284,"Geologist, engineering",1,3003.48,1,1,Urban,1,Phone,No Offer,1.1713843794385586
John Hart,192 Alex Stream Suite 727,North Heatherfurt,36930,(775)299-5206x93579,Merchant navy officer,1,29.99,0,1,Surburban,1,Web,Buy One Get One,1.3844292935194042
Sarah Peterson,6833 Wade Lights,Wilcoxville,88312,863-689-2311,"Scientist, research (life sciences)",1,141.1,1,0,Urban,1,Phone,Buy One Get One,0.869334167842323
Christian Lynch,62917 Hobbs Light Suite 138,Jimmouth,4901,001-525-262-8901,Planning and development surveyor,1,275.8,1,0,Rural,1,Multichannel,Buy One Get One,1.3612003191070228
Wendy Edwards,48022 Jacqueline Centers Apt. 217,Port Dustintown,60802,4034696724,"Embryologist, clinical",10,29.99,1,0,Urban,1,Phone,No Offer,1.025355019271886
Deborah Gill,369 Simmons Stream,Jenniferport,51581,001-991-475-8072,Paediatric nurse,3,39.66,0,1,Surburban,0,Phone,Buy One Get One,1.7969815407406935
Daniel Stein,60990 Miller Coves,Robertborough,59671,(107)133-1712,Dramatherapist,2,29.99,0,1,Surburban,0,Web,Discount,1.034481201489222
Daniel Santana,978 Renee Ways Suite 747,New Rubenview,86239,6622385993,"Engineer, structural",2,29.99,0,1,Urban,0,Web,Buy One Get One,1.250356996406789
William Ferguson,394 Olivia Hills Apt. 710,New Charles,57318,(395)046-6383,Equities trader,2,919.48,1,1,Surburban,1,Web,No Offer,1.7745275759670869
Jasmine Jordan,848 Christopher Port,Kevinport,99060,718.122.2701x9189,Youth worker,9,170.46,1,0,Surburban,0,Phone,Discount,0.8279851406351451
Cynthia Figueroa,9704 David Loaf Suite 821,Wrightburgh,79625,101.485.5520,"Therapist, sports",2,268.88,1,1,Urban,1,Multichannel,Buy One Get One,0.7320010477288816
Jeremy Powell,708 Vargas Summit,Cynthiaberg,10435,(725)041-0089,Freight forwarder,1,656.75,1,1,Urban,1,Phone,Buy One Get One,1.3808233401040382
Charles Arnold,528 Maria Oval Apt. 541,Mariafort,7422,638.065.3452x630,Tree surgeon,6,45.16,1,0,Surburban,1,Phone,No Offer,1.2958080939694483
Tiffany Stewart,82856 Savannah Points Suite 768,Lake Ericstad,59161,001-504-607-0526,Logistics and distribution manager,1,245.18,1,1,Urban,1,Multichannel,No Offer,0.8721971180379562
Cole Sims,9857 Romero Viaduct Suite 375,Port Kimberly,16894,001-645-373-1351x862,Arts development officer,1,713.0,1,0,Surburban,1,Phone,Discount,0.8562802597727162
Rebecca Lawrence,80922 Gentry Roads Apt. 620,Thompsontown,40108,+1-649-151-4301x43866,English as a foreign language teacher,12,96.47,1,0,Surburban,1,Web,No Offer,0.8929034001066813
James Mcdaniel,908 Rodgers Pines,Mejiafort,53808,092.508.8377x821,Museum education officer,6,312.32,1,1,Surburban,1,Web,Buy One Get One,0.6368440126796747
Yolanda Mitchell,802 Aguilar Drive Suite 686,Port Bobby,21441,+1-033-518-6996,Fashion designer,1,166.27,0,1,Urban,0,Phone,Buy One Get One,1.5172366047584371
Renee Martin,4063 Carl Club Apt. 459,Newtonberg,50215,472-557-6249x823,Adult guidance worker,8,95.96,1,0,Surburban,0,Web,Buy One Get One,0.7550875926783952
Dale Lowery,17797 Mary Ridges Suite 825,Markview,18642,001-152-051-9587x6309,Medical sales representative,7,29.99,1,0,Urban,1,Phone,Buy One Get One,0.2328588816268319
William Hancock,85170 Brooke Fork Suite 506,West Jeffreyborough,6798,2683927869,Air traffic controller,10,205.01,1,1,Surburban,1,Web,Discount,1.1334949190759642
Elizabeth Palmer,982 Paul Mill Suite 910,Lake Austinchester,74699,001-978-537-5981x68591,Careers adviser,10,142.56,0,1,Surburban,0,Web,No Offer,1.9738250744915944
Julie Marks,817 Joseph Gateway,Johnton,18159,(999)844-0013x0978,"Investment banker, corporate",8,32.45,1,0,Rural,1,Phone,No Offer,0.7245369141952843
Maria Foster,870 Diaz Ford,Emmaside,96902,001-735-908-5019,"Surveyor, insurance",8,83.57,1,0,Urban,1,Phone,Discount,0.8763557252534238
Nicole Larsen,239 Reid Points,Port Summerport,80364,(686)550-4270x9811,"Engineer, drilling",9,462.27,1,1,Surburban,0,Phone,Discount,1.3387183542924994
Lee Zavala,5730 David Plains Apt. 428,Alyssafurt,48461,+1-127-429-6779x720,Tourist information centre manager,1,530.31,1,0,Urban,1,Phone,Discount,0.3778779674740861
Sarah Wilson,470 Jessica Fields,South Natashaton,93276,+1-360-133-2956,Medical illustrator,12,426.65,1,1,Surburban,0,Web,No Offer,1.2278002349416426
Jacqueline Alexander,699 Reyes Brook Apt. 720,Mooreborough,59166,(321)632-0521x107,Psychiatrist,9,289.35,1,1,Surburban,0,Multichannel,Discount,1.6139465474461705
